Id,Name,Web url,Created at,Updated at,Read me url
236,lgmoralesa,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-lgmoralesa/criteria.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-lgmoralesa/index.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-lgmoralesa/index1.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-lgmoralesa/safeAffordable.html,2017-03-31 18:44:42 UTC,2017-04-02 02:41:35 UTC,https://github.com
235,lemartinp,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-lemartinp/index.html,2017-03-31 18:44:21 UTC,2017-04-02 02:41:52 UTC,https://github.com
234,lacardenasv,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-lacardenasv/index.html,2017-03-31 18:43:39 UTC,2017-04-02 02:42:07 UTC,https://github.com
233,kgbayala528,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-kgbayala528/index.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-kgbayala528/map.html,2017-03-31 18:43:10 UTC,2017-04-02 02:42:26 UTC,https://github.com
232,jumcorredorro,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jumcorredorro/FindingHome/about.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jumcorredorro/FindingHome/home.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jumcorredorro/FindingHome/index.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jumcorredorro/FindingHome/weather.html,2017-03-31 18:32:04 UTC,2017-04-02 02:42:48 UTC,https://github.com
231,juligarji,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-juligarji/index.html,2017-03-31 18:31:41 UTC,2017-04-02 02:43:06 UTC,https://github.com
230,juclopezso,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-juclopezso/Index.html,2017-03-31 18:31:18 UTC,2017-04-02 02:43:24 UTC,https://github.com
229,jscastelblancoh,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jscastelblancoh/index.html,2017-03-31 18:30:52 UTC,2017-04-02 02:43:41 UTC,https://github.com
228,jorge52an,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jorge52an/src/index.html,2017-03-31 18:30:23 UTC,2017-04-02 02:44:04 UTC,https://github.com
226,jmalvarezd,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jmalvarezd/2017-Purdue-UNAL-IronHack-jmalvarezd-project.html,2017-03-31 18:29:55 UTC,2017-04-02 02:44:27 UTC,https://github.com
225,JhonEmmanuelTorres,"",2017-03-31 18:29:28 UTC,2017-04-02 02:44:44 UTC,https://github.com
224,jdmonroyg,"",2017-03-31 18:29:02 UTC,2017-04-02 02:45:09 UTC,https://github.com
223,feattheGru,"",2017-03-31 18:28:33 UTC,2017-04-02 02:45:12 UTC,https://github.com
222,DianaNavarrete,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-DianaNavarrete/primer.html,2017-03-31 18:28:11 UTC,2017-04-02 02:07:21 UTC,https://github.com
221,dduartec,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-dduartec/phase1/map.html,2017-03-31 18:27:54 UTC,2017-04-02 02:07:47 UTC,https://github.com
219,DavidQP,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-DavidQP/main.html,2017-03-31 18:26:44 UTC,2017-04-02 02:08:12 UTC,https://github.com
218,davidh17,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-davidh17/index.html,2017-03-31 18:25:56 UTC,2017-04-02 02:08:51 UTC,https://github.com
216,Danielsv9207,"",2017-03-31 18:02:06 UTC,2017-04-02 02:09:56 UTC,https://github.com
215,dagofonseca,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-dagofonseca/rents.html,2017-03-31 18:01:31 UTC,2017-04-04 03:02:38 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-dagofonseca
214,Chranium,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-Chranium/index.html,2017-03-31 18:00:58 UTC,2017-04-04 02:58:21 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-Chranium
213,anmmunozme,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-anmmunozme/index.html,2017-03-31 17:59:06 UTC,2017-04-04 02:48:06 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-anmmunozme
210,cccristanchoc,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-cccristanchoc/index.html,2017-03-31 17:56:02 UTC,2017-04-04 02:45:02 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-cccristanchoc
209,capinzor,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-capinzor/2017-Purdue-UNAL-IronHacks-Project.html.html,2017-03-31 17:55:17 UTC,2017-04-04 02:41:51 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-capinzor
207,afforeroc,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-afforeroc/index.html,2017-03-31 17:54:39 UTC,2017-04-04 02:40:07 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-afforeroc
206,maikellPardo,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-maikellPardoA/project%20hackton%20MAIKELL%20PARDO/login.html http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-maikellPardoA/project%20hackton%20MAIKELL%20PARDO/PROJECT.html,2017-03-31 17:54:19 UTC,2017-04-02 02:12:48 UTC,http://github.com
205,AFelipeGA,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-AFelipeGA/index.html,2017-03-31 17:54:10 UTC,2017-04-04 02:38:06 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-AFelipeGA
204,afceballosr,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-afceballosr/home.html,2017-03-31 17:53:43 UTC,2017-04-04 02:34:17 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-afceballosr
203,kastellanos,"",2017-03-31 17:53:40 UTC,2017-04-02 02:14:16 UTC,http://github.com
202,jufcontrerasco,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jufcontrerasco/Ironhack.html,2017-03-31 17:53:12 UTC,2017-04-02 02:14:32 UTC,http://github.com
201,adriel62,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-adriel62/index.html,2017-03-31 17:53:05 UTC,2017-04-04 02:31:34 UTC,https://github.com/goldironhack/2017-Purdue-UNAL-IronHack-adriel62
199,jsviveroj,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jsviveroj/base.html,2017-03-31 17:52:42 UTC,2017-04-02 02:15:10 UTC,http://github.com
198,jsnarvaezb,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jsnarvaezb/index.html,2017-03-31 17:52:04 UTC,2017-04-02 02:16:04 UTC,http://github.com
197,jonatan360,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jonatan360/index.html,2017-03-31 17:51:33 UTC,2017-04-02 02:17:18 UTC,http://github.com
196,jhriverasa,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-jhriverasa/index.html,2017-03-31 17:51:08 UTC,2017-04-02 02:17:39 UTC,https://github.com
195,joahernandezca,http://ironhacks-2017-html.herokuapp.com/gold/1/2017-Purdue-UNAL-IronHack-joahernandezca/Purdue_1.html,2017-03-31 17:51:06 UTC,2017-04-02 02:18:03 UTC,http://github.com
